time_s,x_pc,y_pc,z_pc,qw,qx,qy,qz,stereobase,x_km,y_km,z_km,radius_from_reference_km
0,3.227088318e-10,-3.28035046e-10,-6.376355365e-11,0.6078173715,0.6978490249,0.2857183766,0.2488569682,1,9957.754076345283,-10122.103873856893,-1967.5376801402704,14334.75000133911
0.6666666667,3.227700842e-10,-3.280590264e-10,-6.376821497e-11,0.6073538112,0.6983629678,0.2844530771,0.2499939203,1,9959.64412792021,-10122.843831683645,-1967.6815134465119,14336.605209526773
1.333333333,3.231866442e-10,-3.282219129e-10,-6.379987689e-11,0.6068647003,0.698809216,0.2833086424,0.2512312247,1,9972.497826453671,-10127.869983897423,-1968.6584982138218,14349.218779848017
2,3.242813571e-10,-3.286483383e-10,-6.388276559e-11,0.6063282995,0.6991288901,0.2823966018,0.2526597466,1,10006.277136990664,-10141.028096867007,-1971.2161762473115,14382.340776702767
2.666666667,3.263443261e-10,-3.29445503e-10,-6.403771872e-11,0.6057246347,0.6992695714,0.2818172809,0.2543594969,1,10069.93370893678,-10165.62602930247,-1975.9975302415405,14444.655887543111
3.333333333,3.296363514e-10,-3.307003035e-10,-6.428162723e-11,0.6050352965,0.6991845659,0.2816597736,0.2564000871,1,10171.514995595906,-10204.34512702341,-1983.52376045396,14543.821481485678
4,3.343925591e-10,-3.324759889e-10,-6.46267855e-11,0.6042432169,0.6988321113,0.2820018773,0.2588411795,1,10318.27623032397,-10259.137053329026,-1994.1742318120134,14686.50565352699
4.666666667,3.40825871e-10,-3.348087171e-10,-6.508022194e-11,0.6033324451,0.6981745843,0.2829100244,0.2617329337,1,10516.787493369688,-10331.117524433554,-2008.165818387406,14878.425267429839
5.333333333,3.491300125e-10,-3.37704295e-10,-6.564306526e-11,0.6022879395,0.6971777588,0.2844392377,0.2651164473,1,10773.026525970508,-10420.465722548472,-2025.533348531568,15124.384012252709
6,3.594818104e-10,-3.411353153e-10,-6.630998804e-11,0.6010953865,0.695810154,0.2866331287,0.269024191,1,11092.449633052103,-10526.33594676199,-2046.112435239887,15428.310452656007
6.666666667,3.720425883e-10,-3.450388575e-10,-6.706875979e-11,0.5997410537,0.6940425054,0.2895239533,0.2734804374,1,11480.034740773324,-10646.786673311444,-2069.525685024327,15793.296067551573
7.333333333,3.869585381e-10,-3.493148843e-10,-6.789993521e-11,0.598211682,0.6918473789,0.2931327363,0.2785016818,1,11940.29285981843,-10778.731073657607,-2095.1730786221333,16221.633313752533
8,4.0436001e-10,-3.538254461e-10,-6.87766996e-11,0.5964944181,0.6891989441,0.2974694731,0.2840970561,1,12477.24617708625,-10917.912467919521,-2122.227200846863,16714.853667106403
8.666666667,4.243597378e-10,-3.583947944e-10,-6.966489093e-11,0.5945767886,0.6860729089,0.3025334165,0.2902687341,1,13094.373294170147,-11058.907824032878,-2149.633921597423,17273.765664278715
9.333333333,4.470500858e-10,-3.628104975e-10,-7.052321666e-11,0.5924467144,0.6824466144,0.308313454,0.2970123283,1,13794.524275568523,-11195.162184654797,-2176.119086224205,17898.492970286723
10,4.724994686e-10,-3.668256403e-10,-7.130368137e-11,0.5900925645,0.6782992757,0.3147885818,0.3043172795,1,14579.810175256041,-11319.05654589926,-2200.2017108121263,18588.512404278757
10.66666667,5.00748161e-10,-3.701621777e-10,-7.195223853e-11,0.5875032481,0.6736123536,0.3219284789,0.3121672388,1,15451.473743707296,-11422.011332449136,-2220.2140937014037,19342.692014115895
